term_index,term,TF,IDF,TF-IDF
70,artisans,0.0,2.7047480922384253,0.0
71,artist,0.0,2.7047480922384253,0.0
72,artistic,0.0,2.7047480922384253,0.0
73,asian,0.0,2.7047480922384253,0.0
74,astringent,0.0,2.7047480922384253,0.0
75,atmosphere,0.0,2.2992829841302607,0.0
76,atop,0.0,2.7047480922384253,0.0
77,attack,0.00211864406779661,2.7047480922384253,0.0057303985005051385
78,attention,0.0,2.7047480922384253,0.0
79,attract,0.0,2.2992829841302607,0.0
80,audience,0.0,2.2992829841302607,0.0
81,augmented,0.00211864406779661,2.7047480922384253,0.0057303985005051385
82,automation,0.00211864406779661,2.7047480922384253,0.0057303985005051385
83,autumn,0.0,2.7047480922384253,0.0
84,avola,0.0,2.7047480922384253,0.0
85,await,0.0,2.7047480922384253,0.0
86,aware,0.0,2.7047480922384253,0.0
87,awe,0.0,2.2992829841302607,0.0
88,awnings,0.0,2.7047480922384253,0.0
89,baby,0.0,2.7047480922384253,0.0
90,back,0.0,2.7047480922384253,0.0
91,backbone,0.0,2.7047480922384253,0.0
92,backdrop,0.0,2.7047480922384253,0.0
93,bake,0.0,2.2992829841302607,0.0
94,baker,0.0,2.7047480922384253,0.0
95,bakery,0.0,2.7047480922384253,0.0
96,balance,0.00423728813559322,1.7884573603642702,0.0075782091540858906
97,balloon,0.0,2.7047480922384253,0.0
98,balsamic,0.0,2.7047480922384253,0.0
99,band,0.0,2.7047480922384253,0.0
100,barbecue,0.0,2.7047480922384253,0.0
101,barely,0.0,2.7047480922384253,0.0
102,barista,0.0,2.7047480922384253,0.0
103,base,0.0,2.2992829841302607,0.0
104,basic,0.00211864406779661,2.7047480922384253,0.0057303985005051385
105,basking,0.0,2.7047480922384253,0.0
106,baton,0.0,2.7047480922384253,0.0
107,battles,0.0,2.7047480922384253,0.0
108,beacon,0.0,2.2992829841302607,0.0
109,bean,0.0,2.7047480922384253,0.0
110,bear,0.0,2.7047480922384253,0.0
111,beautiful,0.0,1.7884573603642702,0.0
112,beauty,0.0,2.2992829841302607,0.0
113,bees,0.0,2.7047480922384253,0.0
114,begin,0.0,1.6061358035703155,0.0
115,bell,0.0,2.7047480922384253,0.0
116,belong,0.0,2.7047480922384253,0.0
117,bench,0.0,2.2992829841302607,0.0
118,beneath,0.0,2.2992829841302607,0.0
119,benefit,0.00211864406779661,2.7047480922384253,0.0057303985005051385
